AT,V,AP,RH,PE,AT-V,AT-AP,AT-RH,AT-PE,AP-RH,AP-PE
14.96,41.76,1024.07,73.17,463.26,0.36,0.01,0.20,0.03,14.00,2.21
25.18,62.96,1020.04,59.08,444.37,0.40,0.02,0.43,0.06,17.27,2.30
5.11,39.40,1012.16,92.14,488.56,0.13,0.01,0.06,0.01,10.99,2.07
20.86,57.32,1010.24,76.64,446.48,0.36,0.02,0.27,0.05,13.18,2.26
10.82,37.50,1009.23,96.62,473.90,0.29,0.01,0.11,0.02,10.45,2.13
26.27,59.44,1012.23,58.77,443.67,0.44,0.03,0.45,0.06,17.22,2.28
15.89,43.96,1014.02,75.24,467.35,0.36,0.02,0.21,0.03,13.48,2.17
9.48,44.71,1019.12,66.43,478.42,0.21,0.01,0.14,0.02,15.34,2.13
14.64,45.00,1021.78,41.25,475.98,0.33,0.01,0.35,0.03,24.77,2.15
11.74,43.56,1015.14,70.72,477.50,0.27,0.01,0.17,0.02,14.35,2.13
17.99,43.72,1008.64,75.04,453.02,0.41,0.02,0.24,0.04,13.44,2.23
20.14,46.93,1014.66,64.22,453.99,0.43,0.02,0.31,0.04,15.80,2.23
24.34,73.50,1011.31,84.15,440.29,0.33,0.02,0.29,0.06,12.02,2.30
25.71,58.59,1012.77,61.83,451.28,0.44,0.03,0.42,0.06,16.38,2.24
26.19,69.34,1009.48,87.59,433.99,0.38,0.03,0.30,0.06,11.53,2.33
21.42,43.79,1015.76,43.08,462.19,0.49,0.02,0.50,0.05,23.58,2.20
18.21,45.00,1022.86,48.84,467.54,0.40,0.02,0.37,0.04,20.94,2.19
11.04,41.74,1022.60,77.51,477.20,0.26,0.01,0.14,0.02,13.19,2.14
14.45,52.75,1023.97,63.59,459.85,0.27,0.01,0.23,0.03,16.10,2.23
13.97,38.47,1015.15,55.28,464.30,0.36,0.01,0.25,0.03,18.36,2.19
17.76,42.42,1009.09,66.26,468.27,0.42,0.02,0.27,0.04,15.23,2.15
5.41,40.07,1019.16,64.77,495.24,0.14,0.01,0.08,0.01,15.74,2.06
7.76,42.28,1008.52,83.31,483.80,0.18,0.01,0.09,0.02,12.11,2.08
27.23,63.90,1014.30,47.19,443.61,0.43,0.03,0.58,0.06,21.49,2.29
27.36,48.60,1003.18,54.93,436.06,0.56,0.03,0.50,0.06,18.26,2.30
27.47,70.72,1009.97,74.62,443.25,0.39,0.03,0.37,0.06,13.53,2.28
14.60,39.31,1011.11,72.52,464.16,0.37,0.01,0.20,0.03,13.94,2.18
7.91,39.96,1023.57,88.44,475.52,0.20,0.01,0.09,0.02,11.57,2.15
5.81,35.79,1012.14,92.28,484.41,0.16,0.01,0.06,0.01,10.97,2.09
30.53,65.18,1012.69,41.85,437.89,0.47,0.03,0.73,0.07,24.20,2.31
