X1,X2,X3,X4,X5,X6,X7,X8,Y2,VAL
0.98,514.50,294.00,110.25,7.00,2,0.00,0,21.33,1.0
0.98,514.50,294.00,110.25,7.00,3,0.00,0,21.33,1.0
0.98,514.50,294.00,110.25,7.00,4,0.00,0,21.33,1.0
0.98,514.50,294.00,110.25,7.00,5,0.00,0,21.33,1.0
0.90,563.50,318.50,122.50,7.00,2,0.00,0,28.28,1.0
0.90,563.50,318.50,122.50,7.00,3,0.00,0,25.38,1.0
0.90,563.50,318.50,122.50,7.00,4,0.00,0,25.16,1.0
0.90,563.50,318.50,122.50,7.00,5,0.00,0,29.60,1.0
0.86,588.00,294.00,147.00,7.00,2,0.00,0,27.30,1.0
0.86,588.00,294.00,147.00,7.00,3,0.00,0,21.97,1.0
0.86,588.00,294.00,147.00,7.00,4,0.00,0,23.49,1.0
0.86,588.00,294.00,147.00,7.00,5,0.00,0,27.87,1.0
0.82,612.50,318.50,147.00,7.00,2,0.00,0,23.77,1.0
0.82,612.50,318.50,147.00,7.00,3,0.00,0,21.46,1.0
0.82,612.50,318.50,147.00,7.00,4,0.00,0,21.16,1.0
0.82,612.50,318.50,147.00,7.00,5,0.00,0,24.93,1.0
0.79,637.00,343.00,147.00,7.00,2,0.00,0,37.73,1.0
0.79,637.00,343.00,147.00,7.00,3,0.00,0,31.27,1.0
0.79,637.00,343.00,147.00,7.00,4,0.00,0,30.93,1.0
0.79,637.00,343.00,147.00,7.00,5,0.00,0,39.44,1.0
0.76,661.50,416.50,122.50,7.00,2,0.00,0,29.79,1.0
0.76,661.50,416.50,122.50,7.00,3,0.00,0,29.68,1.0
0.76,661.50,416.50,122.50,7.00,4,0.00,0,29.79,1.0
0.76,661.50,416.50,122.50,7.00,5,0.00,0,29.40,1.0
0.74,686.00,245.00,220.50,3.50,2,0.00,0,10.90,1.0
0.74,686.00,245.00,220.50,3.50,3,0.00,0,11.19,1.0
0.74,686.00,245.00,220.50,3.50,4,0.00,0,10.94,1.0
0.74,686.00,245.00,220.50,3.50,5,0.00,0,11.17,1.0
0.71,710.50,269.50,220.50,3.50,2,0.00,0,11.27,1.0
0.71,710.50,269.50,220.50,3.50,3,0.00,0,11.72,1.0
0.71,710.50,269.50,220.50,3.50,4,0.00,0,11.29,1.0
0.71,710.50,269.50,220.50,3.50,5,0.00,0,11.67,1.0
0.69,735.00,294.00,220.50,3.50,2,0.00,0,11.74,1.0
0.69,735.00,294.00,220.50,3.50,3,0.00,0,12.05,1.0
0.69,735.00,294.00,220.50,3.50,4,0.00,0,11.73,1.0
0.69,735.00,294.00,220.50,3.50,5,0.00,0,11.93,1.0
0.66,759.50,318.50,220.50,3.50,2,0.00,0,12.40,1.0
