UN_DENOMINACION,TIPO,CONTRATACION,NOMBRE_TS,INICIO,ACCION
3,1,750,11,08-ene-15,GO
4,1,70000,11,15-dic-16,NO GO
4,1,70000,11,23-jul-13,NO GO
2,1,990,10,08-abr-14,NO GO
2,1,35000,10,01-dic-16,NO GO
2,1,35000,10,31-dic-16,NO GO
3,1,50000,10,30-sep-15,NO GO
2,1,25000,10,14-ene-16,NO GO
2,1,25000,10,29-jun-15,NO GO
0,0,100000,10,26-abr-11,NO GO
1,1,12000,10,31-ago-15,NO GO
2,1,600,9,29-ene-16,GO
2,1,86,9,21-sep-11,GO
2,1,12000,9,01-dic-16,NO GO
2,1,12000,9,01-dic-16,NO GO
2,1,12000,9,01-dic-16,NO GO
2,1,12000,9,01-ene-17,NO GO
2,1,12000,9,30-oct-15,NO GO
2,1,12000,9,01-jul-14,NO GO
2,1,12000,9,01-ene-17,NO GO
2,1,12000,9,01-jul-16,NO GO
2,1,12000,9,31-mar-15,NO GO
4,1,12000,9,31-jul-13,NO GO
4,1,43000,6,01-jun-12,NO GO
0,0,43000,6,30-jun-11,NO GO
4,1,620,5,30-abr-12,GO
3,1,480,5,22-jul-16,GO
3,1,35000,5,30-jun-16,NO GO
2,1,900,4,12-dic-11,GO
2,1,18000,4,01-ene-17,NO GO
4,1,18000,4,21-oct-16,NO GO
2,1,18000,4,12-dic-12,NO GO
1,1,18000,4,09-ago-12,NO GO
2,1,18000,4,27-mar-13,NO GO
2,1,18000,4,15-feb-13,NO GO
2,1,18000,4,15-nov-12,NO GO
2,1,18000,4,22-abr-13,NO GO
4,1,150000,1,28-sep-16,NO GO
4,1,150000,1,15-dic-16,NO GO
4,1,75000,1,18-sep-14,NO GO
4,1,50000,1,24-jul-14,NO GO
4,1,150000,1,01-sep-16,NO GO
2,1,0,3,23-dic-16,NO GO
2,1,0,3,23-dic-16,NO GO
2,1,0,3,23-dic-16,NO GO
2,1,44872,10,25-ago-14,GO
2,1,32110,10,28-jul-13,GO
4,1,142931,5,01-ago-12,GO
4,1,19244,11,31-ene-16,GO
2,1,3208,6,04-oct-11,GO
2,1,16805,9,31-ene-15,GO
2,1,148539,2,01-dic-14,GO
3,1,30152,2,31-ene-15,GO
3,1,13839,2,31-oct-15,GO
4,1,1177,6,04-jun-12,GO
2,1,11644,10,30-ago-11,GO
2,1,7447,10,29-feb-16,GO
4,1,11623,11,31-dic-14,GO
4,1,11253,10,28-feb-15,NO GO
2,1,2439,9,28-feb-15,GO
2,1,32557,6,13-jun-11,GO
2,1,16117,10,01-sep-13,GO
3,1,1534,10,15-ene-14,GO
2,1,2681,10,26-jun-14,GO
3,1,9885,5,31-dic-15,GO
4,1,6318,11,31-dic-14,GO
2,1,268838,2,31-oct-15,GO
2,1,26142,10,31-jul-15,GO
4,1,83180,7,30-nov-15,GO
2,1,38865,2,01-ene-16,GO
2,1,11971,10,01-dic-16,GO
4,1,35799,5,07-ago-12,GO
2,1,255,9,01-ene-16,GO
4,1,5555,5,15-nov-16,GO
4,1,465405,1,31-may-14,GO
2,1,14962,10,17-feb-16,GO
2,1,9066,10,19-nov-12,NO GO
2,1,130116,9,01-mar-16,NO GO
2,1,951,10,16-jul-13,NO GO
2,1,3073,9,04-feb-14,NO GO
2,1,42939,10,30-nov-14,GO
2,1,54916,10,31-jul-15,GO
2,1,35625,10,30-jun-16,GO
2,1,61346,10,05-may-15,GO
3,1,15226,10,01-ene-14,GO
3,1,14941,5,02-ago-13,NO GO
4,1,12496,6,01-ene-11,NO GO
2,1,34742,10,02-ene-12,NO GO
2,1,2535,9,22-ene-13,GO
2,1,1298,9,01-ene-16,GO
2,1,2227,9,01-ene-14,GO
2,1,4123,6,01-may-11,GO
2,1,150640,10,18-nov-13,GO
2,1,19542,11,18-ene-12,GO
2,1,3469,6,01-jun-11,GO
1,1,120083,6,25-sep-14,NO GO
4,1,21848,3,20-nov-13,NO GO
2,1,6902,9,28-ene-16,NO GO
4,1,32789,11,06-jun-11,NO GO
3,1,37562,4,10-nov-16,GO
2,1,79147,10,21-ene-15,GO
2,1,16362,9,01-sep-14,GO
2,1,2951,6,28-may-12,GO
2,1,40286,6,01-jul-11,GO
3,1,49182,2,15-abr-12,GO
2,1,9390,10,13-may-14,NO GO
2,1,13183,10,20-ene-15,GO
2,1,67815,9,01-jul-14,GO
2,1,3963,6,08-ago-12,GO
2,1,9302,10,20-oct-14,GO
2,1,27482,6,01-ene-12,GO
4,1,15157,5,31-ago-15,GO
4,1,10051,5,28-mar-16,GO
2,1,3446,10,18-feb-15,GO
4,1,2348,11,31-ene-16,GO
4,1,2577,11,27-oct-14,NO GO
3,1,54352,5,21-nov-11,NO GO
2,1,19880,10,23-feb-16,NO GO
4,1,6391,11,19-dic-16,GO
2,1,15489,9,01-sep-14,GO
2,1,15489,9,01-sep-14,GO
2,1,12577,10,25-nov-14,GO
2,1,40335,10,09-jun-14,GO
2,1,15489,9,01-sep-14,GO
4,1,7628,11,30-nov-15,GO
4,1,133174,1,31-oct-15,GO
4,1,1323,4,30-sep-16,GO
2,1,65749,10,12-dic-16,GO
2,1,23729,9,01-abr-16,GO
0,0,239248,10,31-ene-14,GO
4,1,12556,4,01-dic-13,GO
2,1,92390,10,22-jun-11,GO
2,1,47367,9,01-ene-16,GO
2,1,100565,10,20-jun-16,GO
3,1,36966,5,23-dic-13,GO
2,1,9404,11,13-jul-16,GO
2,1,23965,10,07-jun-13,NO GO
2,1,23521,6,30-abr-13,NO GO
2,1,18575,3,31-ene-11,GO
2,1,12082,6,25-jun-11,GO
3,1,19546,5,30-jun-15,GO
4,1,5004,9,06-mar-14,GO
4,1,412154,9,31-dic-13,GO
3,1,40387,2,29-jun-12,NO GO
4,1,13889,11,27-nov-14,NO GO
2,1,5657,10,07-oct-13,NO GO
3,1,12123,6,01-ene-14,NO GO
3,1,39902,4,03-ago-12,NO GO
3,1,19162,11,29-ene-16,NO GO
2,1,4288,6,01-jun-11,NO GO
3,1,12634,10,01-ene-13,GO
4,1,85595,4,30-jun-15,GO
4,1,71366,4,24-dic-14,GO
3,1,111027,10,30-sep-11,GO
2,1,49886,10,04-feb-13,GO
