Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,res1H,res1A,res5H,res5A,res20H,res20A,HomeWin,ScoreDraw
E1,2000/08/12,Barnsley,Norwich,1,0,H,0,0,D,13.0,7.0,4.0,4.0,8.0,13.0,1.0,3.0,1.0,0.0,1.0,0.0,-1,-1,-0.2,-0.4,0.1,-0.25,1,0
E1,2000/08/12,Blackburn,Crystal Palace,2,0,H,2,0,H,16.0,4.0,6.0,0.0,14.0,17.0,7.0,4.0,1.0,4.0,0.0,0.0,-1,1,-0.4,-0.2,-0.1,-0.1,1,0
E1,2000/08/12,Bolton,Burnley,1,1,D,1,0,H,7.0,5.0,3.0,1.0,14.0,14.0,3.0,5.0,2.0,1.0,0.0,0.0,1,1,0.8,0.6000000000000001,0.3,0.3,0,1
E1,2000/08/12,Fulham,Crewe,2,0,H,0,0,D,14.0,3.0,10.0,1.0,4.0,9.0,10.0,1.0,0.0,1.0,0.0,0.0,1,1,0.2,0.4,0.1,-0.2,1,0
E1,2000/08/12,Gillingham,Stockport,1,3,A,1,2,A,18.0,10.0,8.0,5.0,9.0,13.0,12.0,4.0,0.0,3.0,0.0,0.0,-1,-1,0.4,-0.4,0.35000000000000003,-0.55,0,0
E1,2000/08/12,Grimsby,Preston,1,2,A,0,1,A,10.0,11.0,5.0,5.0,13.0,8.0,9.0,5.0,0.0,1.0,0.0,0.0,0,1,-0.2,0.4,0.1,0.3,0,0
E1,2000/08/12,Huddersfield,Watford,1,2,A,1,1,D,10.0,6.0,4.0,4.0,17.0,17.0,7.0,6.0,0.0,2.0,0.0,0.0,-1,1,0.0,-0.6000000000000001,-0.25,-0.55,0,0
E1,2000/08/12,Nott'm Forest,West Brom,1,0,H,0,0,D,22.0,9.0,7.0,5.0,8.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,1,1,0.4,0.2,-0.05,-0.1,1,0
E1,2000/08/12,QPR,Birmingham,0,0,D,0,0,D,8.0,10.0,2.0,8.0,19.0,17.0,2.0,6.0,1.0,3.0,0.0,0.0,1,0,0.4,0.2,0.2,0.45,0,0
E1,2000/08/12,Sheffield United,Portsmouth,2,0,H,1,0,H,10.0,11.0,6.0,7.0,13.0,8.0,5.0,5.0,1.0,1.0,0.0,0.0,0,-1,-0.2,0.0,0.1,-0.2,1,0
E1,2000/08/12,Wimbledon,Tranmere,0,0,D,0,0,D,8.0,4.0,2.0,2.0,20.0,17.0,8.0,3.0,1.0,3.0,0.0,1.0,-1,-1,-1.0,-0.4,-0.6,-0.05,0,0
E1,2000/08/13,Wolves,Sheffield Weds,1,1,D,1,0,H,25.0,5.0,9.0,3.0,12.0,14.0,11.0,3.0,1.0,5.0,0.0,1.0,1,1,0.6000000000000001,-0.2,0.35000000000000003,-0.1,0,1
E1,2000/08/18,Birmingham,Fulham,1,3,A,1,3,A,5.0,17.0,4.0,9.0,14.0,7.0,2.0,9.0,1.0,2.0,0.0,0.0,0,1,0.0,0.0,0.25,-0.2,0,0
E1,2000/08/19,Burnley,Wimbledon,1,0,H,1,0,H,10.0,5.0,4.0,1.0,10.0,12.0,8.0,5.0,0.0,1.0,0.0,0.0,0,0,0.4,-0.6000000000000001,0.5,-0.25,1,0
E1,2000/08/19,Crewe,Blackburn,0,0,D,0,0,D,3.0,14.0,1.0,3.0,6.0,12.0,0.0,4.0,2.0,1.0,0.0,0.0,-1,1,0.0,0.0,-0.25,0.0,0,0
E1,2000/08/19,Norwich,Nott'm Forest,0,0,D,0,0,D,15.0,7.0,9.0,3.0,16.0,17.0,5.0,3.0,1.0,3.0,0.0,0.0,-1,1,0.0,0.6000000000000001,-0.2,0.0,0,0
E1,2000/08/19,Portsmouth,Grimsby,1,1,D,0,0,D,7.0,4.0,2.0,3.0,12.0,13.0,8.0,0.0,2.0,1.0,0.0,0.0,-1,-1,-0.4,-0.6000000000000001,0.0,-0.25,0,1
E1,2000/08/19,Preston,Sheffield United,3,0,H,2,0,H,6.0,9.0,3.0,4.0,15.0,25.0,3.0,9.0,1.0,1.0,0.0,1.0,1,1,0.6000000000000001,-0.2,0.35000000000000003,0.0,1,0
E1,2000/08/19,Sheffield Weds,Huddersfield,2,3,A,1,3,A,12.0,6.0,5.0,5.0,13.0,18.0,8.0,4.0,2.0,2.0,0.0,0.0,0,-1,-0.6000000000000001,-0.2,-0.3,0.0,0,0
E1,2000/08/19,Stockport,Wolves,1,1,D,0,0,D,12.0,19.0,3.0,7.0,15.0,8.0,7.0,4.0,2.0,0.0,0.0,0.0,1,0,0.2,0.0,-0.3,0.25,0,1
E1,2000/08/19,Tranmere,Gillingham,3,2,H,3,1,H,13.0,10.0,5.0,7.0,16.0,22.0,8.0,3.0,3.0,2.0,0.0,1.0,0,-1,0.2,0.4,-0.25,0.2,1,0
E1,2000/08/19,Watford,Barnsley,1,0,H,0,0,D,20.0,19.0,14.0,9.0,9.0,8.0,11.0,9.0,1.0,1.0,0.0,0.0,1,1,-0.4,0.4,-0.55,0.35000000000000003,1,0
E1,2000/08/19,West Brom,Bolton,0,2,A,0,1,A,15.0,10.0,7.0,5.0,13.0,13.0,10.0,2.0,1.0,2.0,0.0,0.0,-1,0,-0.2,0.6000000000000001,-0.2,0.55,0,0
E1,2000/08/20,Crystal Palace,QPR,1,1,D,1,0,H,14.0,12.0,6.0,6.0,15.0,16.0,8.0,1.0,2.0,1.0,0.0,0.0,-1,0,-0.4,0.0,-0.05,0.1,0,1
